,id_object,addres_object,developer_object,group_company,amount_floors,amount_apartments,area,commissioning,picture
38,4680,"г Хабаровск, Краснофлотский район, пересечение улиц Хорышева-Таймырская, д. 3",ООО ТЕХНОСИТИ,Энергожилстрой,4,60,2 758,IV кв. 2022,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/9864d1c1-27fc-4b5b-835a-e55cf54cd9c3
39,4679,"г Хабаровск, Краснофлотский район, пересечение улиц Хорышева-Таймырская, д. 2",ООО ТЕХНОСИТИ,Энергожилстрой,4,60,2 758,IV кв. 2023,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/5df3a388-4f18-4a4e-931b-89747c9847c3
40,4678,"г Хабаровск, Краснофлотский район, пересечение улиц Хорышева-Таймырская, д. 1",ООО ТЕХНОСИТИ,Энергожилстрой,4,58,2 789,III кв. 2022,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/d7497b36-bdd7-4f48-8d68-b69b27ee2a27
41,4681,"г Хабаровск, Краснофлотский район, пересечение улиц Хорышева-Таймырская, д. 4",ООО ТЕХНОСИТИ,Энергожилстрой,4,52,2 826,III кв. 2023,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/1708d121-a227-47ed-a81b-41845c37f003
42,9256,"г Хабаровск, район Краснофлотский, д. №2",ООО ТСМ,Терраса ЛОФТ,3,29,1 397,IV кв. 2021,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/87cc5b2b-702e-40b0-ab1d-a8aa4b709ddb
43,36339,"г Хабаровск, район Кировский, ул Джамбула, д. 3",ООО СЗ ТАЛАН-РЕГИОН-2,Талан,25,262,15 415,I кв. 2023,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/63148033-ce18-4af7-b61a-e56738130223
44,32629,"город Хабаровск, переулок Гражданский, д. 9",ООО ИНВЕСТ-ДВ,ИНВЕСТ-ДВ,25,89,7 410,II кв. 2022,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/72e17851-3677-46da-b9a9-df318f2dc9d9
45,41942,"г Хабаровск, Индустриальный район, улица П.Л.Морозова",ООО СЗ СТРОЙКОР ПЛЮС,-,25,156,10 868,IV кв. 2023,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/b9b99e7b-ca8a-441c-80b0-59b0c5e70c16
46,42600,"г Хабаровск, район Индустриальный, улица П.Л.Морозова",ООО СЗ СТРОЙКОР ПЛЮС,-,25,156,10 868,IV кв. 2023,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/1c4c18b1-ffd1-47ee-a2ed-2c64543f7600
47,42601,"г Хабаровск, район Индустриальный, улица П.Л.Морозова",ООО СЗ СТРОЙКОР ПЛЮС,-,1,-,-,IV кв. 2023,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/27924ab4-de8c-465e-bc0b-9736c4742209
48,36755,"г Хабаровск, улица Героев Пассаров, д. 12/2",ООО СЗ ФЖС,Фонд Жилищного строительства,12,80,4 642,I кв. 2022,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/bbd4156e-1268-4f59-bad5-b9909df653c5
